PLANT,Sanskrit/Ayurvedic Names,plant part,COMPOUND,pubchem ID,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic,cancer type,Toxicity (LD50)mg/kg,Prediction,PROTEIN TARGET,DOI NUMBER
,,rhizome,(+)-AR-TURMERONE,558221,Molecule 12,CC(=CC(=O)CC(c1ccc(cc1)C)C)C,C15H20O,216.32,16,6,0.4,4,1,0,69.75,17.07,3.12,3.98,4.02,3.68,4.38,3.84,-3.7,4.30E-02,1.99E-04,Soluble,-4.04,1.97E-02,9.13E-05,Moderately soluble,-4.45,7.76E-03,3.59E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-4.79,0,0,0,0,1,0.55,0,1,2,2.4,,2000,inactive/active,****,****
,,root,(+)-SABINENE,10887971,Molecule 13,C=C1CCC2(C1C2)C(C)C,C10H16,136.23,10,0,0.8,1,0,0,45.22,0,2.65,3.09,3,4.29,3.23,3.25,-2.57,3.71E-01,2.72E-03,Soluble,-2.76,2.38E-01,1.75E-03,Soluble,-2.48,4.55E-01,3.34E-03,Soluble,Low,Yes,No,No,No,No,No,No,-4.94,1,1,0,0,2,0.55,0,1,1,2.87,,5000,inactive/active,****,****
,,rhizome,"1,5-BIS-(4-HYDROXY-3-METHOXYPHENYL)-1,4-PENTADIEN-3-ONE",131752986,Molecule 14,COc1cc(C=CC(=O)C=Cc2ccc(c(c2)OC)O)ccc1O,C19H18O5,326.34,24,12,0.11,6,5,2,92.99,75.99,3.1,3.35,3.19,1.91,3.67,3.05,-3.95,3.68E-02,1.13E-04,Soluble,-4.62,7.77E-03,2.38E-05,Moderately soluble,-4.12,2.45E-02,7.52E-05,Moderately soluble,High,Yes,No,Yes,No,Yes,No,Yes,-5.91,0,0,0,0,0,0.55,0,1,0,2.76,,NA,inactive,****,****
,,rhizome,"1,7-BIS-(4-HYDROXY-3-METHOXYPHENYL)-1,4,6-HEPTATRIEN-3-ONE",10904292,Molecule 15,COc1cc(C=CC=CC(=O)C=Cc2ccc(c(c2)OC)O)ccc1O,C21H20O5,352.38,26,12,0.1,7,5,2,102.13,75.99,3.58,3.99,3.75,2.29,4.3,3.58,-4.42,1.35E-02,3.82E-05,Moderately soluble,-5.29,1.82E-03,5.16E-06,Moderately soluble,-4.2,2.24E-02,6.35E-05,Moderately soluble,High,Yes,No,Yes,No,Yes,No,Yes,-5.62,0,0,0,0,0,0.55,0,2,2,3.34,,NA,inactive,****,****
,,rhizome,"1,7-BIS-(4-HYDROXYPHENYL)-1-HEPTENE-3,5-DIONE",9796708,Molecule 16,O=C(CC(=O)C=Cc1ccc(cc1)O)CCc1ccc(cc1)O,C19H18O4,310.34,23,12,0.16,7,4,2,89.5,74.6,1.94,3.06,3.16,2.2,4.05,2.88,-3.62,7.51E-02,2.42E-04,Soluble,-4.29,1.58E-02,5.09E-05,Moderately soluble,-4.95,3.48E-03,1.12E-05,Moderately soluble,High,Yes,No,Yes,No,No,No,Yes,-6.02,0,0,0,0,0,0.55,0,2,0,2.67,,NA,inactive,****,****
,,plant,"1-HYDROXY-1,7-BIS-(4-HYDROXY-3-METHOXYPHENYL)-6-HEPTENE-3,5-DIONE",68548065,Molecule 17,COc1cc(C=CC(=O)CC(=O)CC(c2ccc(c(c2)OC)O)O)ccc1O,C21H22O7,386.4,28,12,0.24,9,7,3,103.65,113.29,2.96,1.9,2.35,0.75,3.45,2.28,-3.16,2.70E-01,6.99E-04,Soluble,-3.9,4.84E-02,1.25E-04,Soluble,-4.22,2.31E-02,5.97E-05,Moderately soluble,High,No,No,No,No,Yes,No,Yes,-7.31,0,0,0,0,0,0.55,0,2,2,3.63,,NA,inactive,****,****
,,plant,2-BORNANOL,10049,Molecule 18,OC1CC2C(C1(C)CC2)(C)C,C10H18O,154.25,11,0,1,0,1,1,46.6,20.23,2.29,2.72,2.19,2.45,2.27,2.38,-2.51,4.77E-01,3.09E-03,Soluble,-2.8,2.45E-01,1.59E-03,Soluble,-1.91,1.92E+00,1.24E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.31,0,1,0,0,2,0.55,0,0,1,3.43,,500,Inactive,****,****
,,rhizome,4''-(3''-METHOXY-4''-HYDROXYPHENYL)-2''-OXO-3''-ENEBUTANYL-3-(3'-METHOXY-4'-HYDROXYPHENYL)-PROPENOATE,637429,Molecule 19,COc1cc(C=CC(=O)OCC(=O)C=Cc2ccc(c(c2)OC)O)ccc1O,C21H20O7,384.38,28,12,0.14,9,7,2,103.89,102.29,3.33,3.27,2.74,1.49,3.59,2.88,-4.01,3.79E-02,9.85E-05,Moderately soluble,-5.09,3.11E-03,8.08E-06,Moderately soluble,-4.18,2.55E-02,6.64E-05,Moderately soluble,High,No,No,No,No,Yes,No,Yes,-6.32,0,0,0,0,0,0.55,0,1,2,3.24,,NA,Inactive,"We provided evidence that 4-oxo-4-HPR, besides acting as an antimicrotubule agent, induced apoptosis through a signaling cascade starting from ROS generation and involving endoplasmic reticulum (ER) stress response, Jun N-terminal Kinase (JNK) activation, and upregulation of the proapoptotic PLAcental Bone morphogenetic protein (PLAB). Through time-course analysis and inhibition of the ROS-related signaling pathway (upstream by vitamin C and downstream by PLAB silencing), we demonstrated that the antimitotic activity of 4-oxo-4-HPR was independent from the oxidative stress induced by the retinoid. In fact, ROS generation occurred earlier than mitotic arrest (within 30 minutes and 2 hours, respectively) and abrogation of the ROS-related signaling pathway did not prevent the 4-oxo-4-HPR-induced mitotic arrest.",https://doi.org/10.1371/journal.pone.0013362
,,rhizome,ALPHA-ATLANTONE,12299868,Molecule 20,CC(=CC(=O)C=C(C1CCC(=CC1)C)C)C,C15H22O,218.33,16,0,0.53,3,1,0,70.88,17.07,3.12,5.35,4.21,3.37,3.89,3.99,-4.37,9.40E-03,4.30E-05,Moderately soluble,-5.46,7.55E-04,3.46E-06,Moderately soluble,-2.75,3.86E-01,1.77E-03,Soluble,High,Yes,No,No,Yes,Yes,No,No,-3.83,0,0,0,0,2,0.55,0,2,2,3.75,,5000,inactive ,***,
,,rhizome,ALPHA-CURCUMENE,92139,Molecule 21,CC(=CCCC(c1ccc(cc1)C)C)C,C15H22,202.34,15,6,0.47,4,0,0,69.55,0,3.5,5.38,4.84,5.75,4.82,4.86,-4.52,6.17E-03,3.05E-05,Moderately soluble,-5.13,1.49E-03,7.34E-06,Moderately soluble,-4.9,2.55E-03,1.26E-05,Moderately soluble,Low,No,No,No,No,No,Yes,No,-3.71,1,0,0,0,2,0.55,0,1,2,2.31,,2000,Inactive,***,
,,root,ALPHA-TOCOPHEROL,14985,Molecule 22,CC(CCCC1(C)CCc2c(O1)c(C)c(c(c2C)O)C)CCCC(CCCC(C)C)C,C29H50O2,430.71,31,6,0.79,12,2,1,139.27,29.46,5.92,10.7,8.84,6.14,9.75,8.27,-8.6,1.08E-06,2.50E-09,Poorly soluble,-11.27,2.30E-09,5.33E-12,Insoluble,-9.16,2.97E-07,6.89E-10,Poorly soluble,Low,No,Yes,No,No,No,No,No,-1.33,1,3,1,1,1,0.55,0,0,3,5.17,,5000,inactive,***,
,,leaf,BETA-PINENE,14896,Molecule 23,C=C1CCC2CC1C2(C)C,C10H16,136.23,10,0,0.8,0,0,0,45.22,0,2.59,4.16,3,4.29,3.08,3.42,-3.31,6.74E-02,4.95E-04,Soluble,-3.87,1.85E-02,1.36E-04,Soluble,-2.48,4.55E-01,3.34E-03,Soluble,Low,Yes,No,No,No,Yes,No,No,-4.18,1,1,0,0,2,0.55,0,1,2,3.73,,4700,inactive, ?-pinene-based thiazole derivatives were used as anticancer agents via mitochondrial-facilitated apoptosis.,"doi: 10.3390/biom9110738
PMCID: PMC6920849
PMID: 31739596"
,,rhizome,BETA-SESQUIPHELLANDRENE,12315492,Molecule 24,CC(C1CCC(=C)C=C1)CCC=C(C)C,C15H24,204.35,15,0,0.6,4,0,0,70.68,0,3.58,5.41,4.89,4.53,4.37,4.56,-4.25,1.15E-02,5.61E-05,Moderately soluble,-5.17,1.40E-03,6.84E-06,Moderately soluble,-3.35,9.13E-02,4.47E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.71,1,0,0,0,2,0.55,0,1,2,4.42,,5000,inactive," SQP was found to have antiproliferative effects comparable to those of curcumin in human leukemia, multiple myeloma, and colorectal cancer cells. While lack of the NF-?B-p65 protein had no effect on the activity of SQP, lung cancer cells that expressed p53 were more susceptible to the cytotoxic effect of SQP than were cells that lacked p53 expression. SQP was also found to be highly effective in suppressing cancer cell colony formation and inducing apoptosis, as shown by assays of intracellular esterase activity, plasma membrane integrity, and cell-cycle phase. SQP was found to induce cytochrome c release and activate caspases that lead to poly ADP ribose polymerase cleavage. SQP exposure was associated with downregulation of cell survival proteins such cFLIP, Bcl-xL, Bcl-2, c-IAP1, and survivin. Furthermore, SQP was found to be synergistic with the chemotherapeutic agents velcade, thalidomide and capecitabine. Overall, our results indicate that SQP has anticancer potential comparable to that of curcumin.", 10.1007/s10637-015-0296-5
,,rhizome,BETA-SITOSTEROL,222284,Molecule 25,CCC(C(C)C)CCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C,C29H50O,414.71,30,0,0.93,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.04,7.19,-7.9,5.23E-06,1.26E-08,Poorly soluble,-9.67,8.90E-08,2.15E-10,Poorly soluble,-6.19,2.69E-04,6.49E-07,Poorly soluble,Low,No,No,No,No,No,No,No,-2.2,1,3,0,1,2,0.55,0,1,2,6.3,,890,inactive,The decrease of Hsp90 protein by BS was observed.  BS significantly reduced cell viability by inducing apoptosis in AGS adenocarcinoma cells,https://doi.org/10.1016/j.bcp.2018.03.010
,,root,BIS-DEMETHOXYCURCUMIN,5315472,Molecule 26,O=C(CC(=O)C=Cc1ccc(cc1)O)C=Cc1ccc(cc1)O,C19H16O4,308.33,23,12,0.05,6,4,2,89.82,74.6,1.75,3.26,3.13,2.13,3.87,2.83,-3.8,4.94E-02,1.60E-04,Soluble,-4.5,9.73E-03,3.16E-05,Moderately soluble,-4.23,1.81E-02,5.86E-05,Moderately soluble,High,Yes,No,Yes,No,Yes,No,Yes,-5.87,0,0,0,0,0,0.55,0,2,0,2.59,,2560,inactive," BDMC inhibited expressions of several degradation-associated proteins, such as matrix metalloproteinase-2 (MMP-2), matrix metalloproteinase-9 (MMP-9), CD147, urokinase plasminogen activator (uPA), intercellular adhesion molecule-1 (ICAM-1) and vascular cell adhesion molecule-1 (VCAM-1), whereas increased expression of tissue inhibitor of metalloproteinase-1 (TIMP-1), in a dose-dependent manner. In addition, BDMC reduced generation of cellular superoxide in a dose-dependent manner. Furthermore, BDMC inhibited the phosphorylation levels of NF-?B p65 and I?B-? and consequently reduced NF-?B-driven luciferase expression. Collectively, BDMC serves as a therapeutic medicine to suppress ovarian cancer, perhaps via inhibiting cellular oxidative stress and subsequently inactivating NF-?B pathway.", Article number: 28773 (2016) 
,,rhizome,"BISABOLA-3,10-DIEN-2-ONE",10857025,Molecule 27,CC(=CCCC(C1CCC(=CC1=O)C)C)C,C15H24O,220.35,16,0,0.67,4,1,0,71.36,17.07,3.34,4.82,4.29,3.46,4.2,4.02,-3.98,2.31E-02,1.05E-04,Soluble,-4.91,2.70E-03,1.23E-05,Moderately soluble,-3.46,7.62E-02,3.46E-04,Soluble,High,Yes,No,No,Yes,Yes,No,No,-4.22,0,0,0,0,1,0.55,0,1,2,3.91,,2450,inactive ,"?-Bisabolol exerted significant anticancer activity on A549 NSCLC cells with IC50 of 15 ?M. The anticancer effects of ?-Bisabolol were found to be due to G2/M cell cycle arrest and mitochondrial apoptosis. ?-Bisabolol also inhibited cell migration of A549 cells dose-dependently. Moreover, the results showed that ?-Bisabolol could inhibit the PI3K/AKT signalling pathway in a dose-dependent manner. The results of the present study indicate that ?-Bisabolol exerted selective anticancer effects on A549 cells via induction of cell cycle arrest, mitochondrial apoptosis and inhibition of PI3K/Akt signalling pathways.",PMID: 30570866
,,rhizome,BISACUMOL,5315469,Molecule 28,CC(=CC(CC(c1ccc(cc1)C)C)O)C,C15H22O,218.33,16,6,0.47,4,1,1,70.71,20.23,2.87,4.08,3.82,3.76,4.05,3.72,-3.78,3.64E-02,1.67E-04,Soluble,-4.21,1.35E-02,6.17E-05,Moderately soluble,-3.97,2.34E-02,1.07E-04,Soluble,High,Yes,Yes,No,No,No,Yes,No,-4.74,0,0,0,0,1,0.55,0,1,2,2.63,,2200,inactive,***,
,,rhizome,BISACURONE,14287397,Molecule 29,CC(=CC(=O)CC(C1C=CC(C(C1)O)(C)O)C)C,C15H24O3,252.35,18,0,0.67,4,3,2,73.72,57.53,2.74,1.88,2.24,1.66,2.3,2.16,-2.32,1.19E+00,4.73E-03,Soluble,-2.71,4.92E-01,1.95E-03,Soluble,-1.5,7.93E+00,3.14E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.5,0,0,0,0,0,0.55,0,2,0,4.39,,1170,inactive," Bisacurone dose-dependently inhibited TNF-alpha-mediated expression of VCAM-1. It showed significant suppressive effect on ROS generation in response to TNF-alpha stimulation and it blocked nuclear factor-kappa B (NF-kappaB) p65 translocation into the nucleus and phosphorylation of inhibitory factor kappaBalpha (IkappaBalpha). It also inhibited phosphorylation of Akt and PKC, which are upstream in the regulation of VCAM-1 by TNF-alpha. Furthermore, bisacurone decreased U937 monocyte and human oral cancer cell (Hep-2, QLL-I, SCC-15) adhesion to HUVECs stimulated by TNF-alpha, suggesting that it may inhibit the binding of these cells by regulating the expression of critical adhesion molecules by TNF-alpha","DOI:10.1016/j.intimp.2008.05.006
SourcePubMed"
,,rhizome,CALEBIN-A,637429,Molecule 30,COc1cc(C=CC(=O)OCC(=O)C=Cc2ccc(c(c2)OC)O)ccc1O,C21H20O7,384.38,28,12,0.14,9,7,2,103.89,102.29,3.33,3.27,2.74,1.49,3.59,2.88,-4.01,3.79E-02,9.85E-05,Moderately soluble,-5.09,3.11E-03,8.08E-06,Moderately soluble,-4.18,2.55E-02,6.64E-05,Moderately soluble,High,No,No,No,No,Yes,No,Yes,-6.32,0,0,0,0,0,0.55,0,1,2,3.24,,978,inactive/active,"Calebin A has been shown to exhibit its anti-cancer properties by inducing apoptosis, inhibiting cell growth, and to modulate mitogen-activated protein kinases (MAPK) c-Jun N-terminal kinase (JNK), extracellular signal-regulated kinase (ERK) and protein kinase of 38 kDa (p38) in gastric cancer and neurofibroma [30,31]. More interestingly, this effect was also observed in chemoresistant cells, underlining the immense potential of Calebin A as a chemopreventive/chemosensitivity agent to improve and enhance standard therapeutic approaches. Recently, it was shown that Calebin A exhibits anti-oxidant activity and inhibits histone acetyltransferase (HAT) activity and further mediates its anti-cancer effects by inhibiting P300/CBP-associated factor (PCAF). Calebin A also targets the NF-?B pathway, thereby suppressing cell survival and expression of NF-?B-regulated gene end-products, leading to the inhibition of cell growth and chemosensitization 
The potential modulating role of Calebin A in TNF-?-induced NF-?B mediated inflammatory signaling in colon cancer cells is unknown. Therefore, in the present study we investigated, for the first time, the efficacy of Calebin A on suppressing TNF-?-induced NF-?B mediated malignity in CRC cells in vitro.Calebin A interacts directly with cysteine residues of p65-NF-?B, thereby suppressing the recombinant binding of p65 to DNA [27]. Furthermore, several reports have demonstrated that a residue Cyc38 of p65-NF-?B is essential for the specific binding/interaction to the DNA in different tumor cells.Calebin A, and this was also inhibited in the same way by the knockdown of NF-?B on mRNA level using ASO-NF-?B, or on the IKK level by BMS-345541 (specific IKK-inhibitor) or by curcumin (natural inhibitor of NF-?B), may be essential mechanisms for Calebin A’s antitumorigenic potential in this inflammatory tumor environment","PMCID: PMC6950382
PMID: 31805741"
,,essential oil,CURCUMENOL,167812,Molecule 31,CC(=C1CC23OC1(O)C=C(C3CCC2C)C)C,C15H22O2,234.33,17,0,0.73,0,2,1,69.25,29.46,2.83,2.24,3.18,3.04,2.96,2.85,-2.7,4.63E-01,1.98E-03,Soluble,-2.49,7.51E-01,3.20E-03,Soluble,-2.67,5.03E-01,2.15E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.14,0,0,0,0,0,0.55,0,1,1,5.73,,6000,inactive,"YWHAG knockdown reduced the protein expression in the pentose phosphorylation pathway. Curcumenol inhibited YWHAG expression.Curcumenol can enhance cisplatin to inhibit cancer cell proliferation, migration, and invasion and promote tumor cell apoptosis. The combination of drugs may promote the apoptosis of cervical cancer cells through the YWHAG pathway.",PMID: 35795276 PMCID: PMC9251105 DOI: 10.1155/2022/3988916
